GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WrzasqPl Commons AWS,pl.wrzasq.commons.aws,MessageHandler,0,50,0,0,0,15,0,2,0,2
WrzasqPl Commons AWS,pl.wrzasq.commons.aws,MessageDispatcher,0,46,0,0,0,13,0,2,0,2
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.lambda,HeartbeatHandler,0,40,0,4,0,12,0,5,0,3
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.lambda,MultiHandler,0,75,1,5,0,19,1,5,0,3
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.cloudformation,CustomResourceHandler,0,116,0,0,0,27,0,2,0,2
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.cloudformation,StackUtils,0,26,0,0,0,7,0,3,0,3
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.cloudformation,CustomResourceResponse,0,5,0,0,0,2,0,1,0,1
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.sns,NotificationHandler,0,9,0,0,0,2,0,1,0,1
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.sns,SimpleNotificationHandler,0,10,0,0,0,2,0,2,0,2
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.sns,TypedNotificationHandler,0,10,0,0,0,2,0,1,0,1
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.sns,TopicClient,0,20,0,0,0,4,0,3,0,3
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.sqs,SimpleEventHandler,0,10,0,0,0,2,0,2,0,2
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.sqs,QueueClient,0,20,0,0,0,4,0,3,0,3
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.sqs,TypedEventHandler,0,10,0,0,0,2,0,1,0,1
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.sqs,EventHandler,0,6,0,0,0,2,0,1,0,1
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.cloudformation.macro,MacroHandler,0,14,0,0,0,1,0,1,0,1
WrzasqPl Commons AWS,pl.wrzasq.commons.aws.cloudformation.macro,TemplateUtils,0,111,0,14,0,23,0,14,0,7
