GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.rpc.introspector,Introspector.RequestHandler,0,110,0,4,0,25,0,4,0,2
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.rpc.introspector,Introspector,0,281,0,18,0,61,0,22,0,13
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.netty,RequestHandler,5,120,0,4,0,30,0,7,0,5
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.netty,DispatcherHandler,0,91,0,0,0,25,0,4,0,4
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.netty,StringChannelInitializer.JsonRpc2MessageEncoder,0,16,0,0,0,3,0,2,0,2
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.netty,StringChannelInitializer,0,62,0,0,0,10,0,3,0,3
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.daemon,Listener,5,111,0,4,0,27,0,10,0,8
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.daemon,AbstractApplication,0,182,0,8,0,38,0,12,0,8
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.daemon,AbstractSpringApplication,0,77,0,4,0,20,0,7,0,5
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.daemon,ChillDevApplication,0,9,0,0,0,3,0,3,0,3
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.json,ConvertUtils,0,91,0,6,0,21,0,8,0,5
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.json,ParamsRetriever,0,190,0,16,0,44,0,22,0,14
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc,AbstractIdentifiable,0,42,0,10,0,10,0,10,0,5
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.rpc.handler,VersionHandler,0,14,0,0,0,6,0,3,0,3
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.json.writer,SortWriter,0,44,0,4,0,11,0,4,0,2
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.json.writer,StringDumpingWriter,0,9,0,0,0,3,0,2,0,2
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.json.writer,DateTimeWriter,0,14,0,0,0,5,0,2,0,2
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.client,JavaModule,0,12,0,0,0,4,0,3,0,3
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.client,VersionAware,0,6,0,0,0,3,0,1,0,1
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.client,Connector,0,197,0,6,0,40,0,14,0,11
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.client,RpcCallException,0,5,0,0,0,2,0,1,0,1
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.client,SpringDataModule,0,29,0,0,0,7,0,3,0,3
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.client.introspector,Introspector.Call,0,51,0,4,0,12,0,4,0,2
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.client.introspector,Introspector,0,249,0,16,0,51,0,21,0,13
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.client.introspector,Introspector.Client,0,28,0,0,0,7,0,3,0,3
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.rpc,JavaModule,0,120,0,14,0,30,0,16,0,9
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.rpc,ErrorCodes,0,10,0,0,0,2,0,2,0,2
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.rpc,SpringDataModule,0,36,0,0,0,9,0,4,0,4
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.rpc,Dispatcher,0,63,0,2,0,14,0,6,0,5
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.rpc,ReturningMethod.RequestHandler,0,17,0,0,0,4,0,2,0,2
ChillDev Commons JSON-RPC,pl.chilldev.commons.jsonrpc.rpc,VoidMethod.RequestHandler,0,17,0,0,0,5,0,2,0,2
